x	y
1.583	2.01E-05
1.584	2.03E-05
1.585	2.01E-05
1.586	1.95E-05
1.587	1.84E-05
1.588	1.70E-05
1.589	1.52E-05
1.59	1.30E-05
1.591	1.04E-05
1.592	7.37E-06
1.593	3.97E-06
1.594	1.78E-07
1.595	3.58E-06
1.596	6.95E-06
1.597	9.93E-06
1.598	1.25E-05
1.599	1.47E-05
1.6	1.65E-05
1.601	1.79E-05
1.602	1.89E-05
1.603	1.96E-05
1.604	1.98E-05
1.605	1.96E-05
1.606	1.91E-05
1.607	1.82E-05
1.608	1.69E-05
1.609	1.52E-05
1.61	1.31E-05
1.611	1.06E-05
1.612	7.76E-06
1.613	4.52E-06
1.614	8.99E-07
1.615	2.83E-06
1.616	6.19E-06
1.617	9.16E-06
1.618	1.18E-05
1.619	1.40E-05
1.62	1.58E-05
1.621	1.72E-05
1.622	1.83E-05
1.623	1.90E-05
1.624	1.93E-05
1.625	1.92E-05
1.626	1.88E-05
1.627	1.79E-05
1.628	1.67E-05
1.629	1.51E-05
1.63	1.32E-05
1.631	1.08E-05
1.632	8.13E-06
1.633	5.04E-06
1.634	1.57E-06
1.635	2.11E-06
1.636	5.45E-06
1.637	8.42E-06
1.638	1.10E-05
1.639	1.32E-05
1.64	1.51E-05
1.641	1.66E-05
1.642	1.77E-05
1.643	1.84E-05
1.644	1.88E-05
1.645	1.88E-05
1.646	1.84E-05
1.647	1.77E-05
1.648	1.66E-05
1.649	1.51E-05
1.65	1.32E-05
1.651	1.10E-05
1.652	8.46E-06
1.653	5.51E-06
1.654	2.20E-06
1.655	1.40E-06
1.656	4.73E-06
1.657	7.70E-06
1.658	1.03E-05
1.659	1.25E-05
1.66	1.44E-05
1.661	1.59E-05
1.662	1.71E-05
1.663	1.79E-05
1.664	1.83E-05
1.665	1.84E-05
1.666	1.81E-05
1.667	1.74E-05
1.668	1.64E-05
1.669	1.50E-05
1.67	1.33E-05
1.671	1.12E-05
1.672	8.75E-06
1.673	5.95E-06
1.674	2.78E-06
1.675	7.13E-07
1.676	4.03E-06
1.677	7.00E-06
1.678	9.61E-06
1.679	1.19E-05
1.68	1.38E-05
1.681	1.53E-05
1.682	1.65E-05
1.683	1.73E-05
1.684	1.78E-05
1.685	1.79E-05
1.686	1.77E-05
1.687	1.71E-05
1.688	1.62E-05
1.689	1.50E-05
1.69	1.33E-05
1.691	1.13E-05
1.692	9.02E-06
1.693	6.35E-06
1.694	3.32E-06
1.695	4.69E-08
1.696	3.35E-06
1.697	6.31E-06
1.698	8.93E-06
1.699	1.12E-05
1.7	1.31E-05
1.701	1.47E-05
1.702	1.59E-05
1.703	1.68E-05
1.704	1.73E-05
1.705	1.75E-05
1.706	1.74E-05
1.707	1.69E-05
1.708	1.60E-05
1.709	1.49E-05
1.71	1.33E-05
1.711	1.15E-05
1.712	9.27E-06
1.713	6.72E-06
1.714	3.83E-06
1.715	6.00E-07
1.716	2.69E-06
1.717	5.65E-06
1.718	8.26E-06
1.719	1.05E-05
1.72	1.25E-05
1.721	1.41E-05
1.722	1.53E-05
1.723	1.63E-05
1.724	1.69E-05
1.725	1.71E-05
1.726	1.70E-05
1.727	1.66E-05
1.728	1.58E-05
1.729	1.48E-05
1.73	1.33E-05
1.731	1.16E-05
1.732	9.48E-06
1.733	7.06E-06
1.734	4.30E-06
1.735	1.21E-06
1.736	2.05E-06
1.737	5.00E-06
1.738	7.62E-06
1.739	9.90E-06
1.74	1.19E-05
1.741	1.35E-05
1.742	1.48E-05
1.743	1.57E-05
1.744	1.64E-05
1.745	1.67E-05
1.746	1.67E-05
1.747	1.63E-05
1.748	1.56E-05
1.749	1.46E-05
1.75	1.33E-05
1.751	1.17E-05
1.752	9.67E-06
1.753	7.37E-06
1.754	4.73E-06
1.755	1.77E-06
1.756	1.42E-06
1.757	4.37E-06
1.758	6.99E-06
1.759	9.28E-06
1.76	1.13E-05
1.761	1.29E-05
1.762	1.42E-05
1.763	1.52E-05
1.764	1.59E-05
1.765	1.63E-05
1.766	1.63E-05
1.767	1.60E-05
1.768	1.54E-05
1.769	1.45E-05
1.77	1.33E-05
1.771	1.17E-05
1.772	9.84E-06
1.773	7.65E-06
1.774	5.13E-06
1.775	2.30E-06
1.776	8.15E-07
1.777	3.75E-06
1.778	6.37E-06
1.779	8.67E-06
1.78	1.07E-05
1.781	1.23E-05
1.782	1.37E-05
1.783	1.47E-05
1.784	1.55E-05
1.785	1.59E-05
1.786	1.60E-05
1.787	1.58E-05
1.788	1.52E-05
1.789	1.44E-05
1.79	1.32E-05
1.791	1.18E-05
1.792	9.99E-06
1.793	7.90E-06
1.794	5.50E-06
1.795	2.79E-06
1.796	2.21E-07
1.797	3.15E-06
1.798	5.77E-06
1.799	8.08E-06
1.8	1.01E-05
1.801	1.18E-05
1.802	1.32E-05
1.803	1.42E-05
1.804	1.50E-05
1.805	1.55E-05
1.806	1.56E-05
1.807	1.55E-05
1.808	1.50E-05
1.809	1.42E-05
1.81	1.32E-05
1.811	1.18E-05
1.812	1.01E-05
1.813	8.14E-06
1.814	5.85E-06
1.815	3.26E-06
1.816	3.59E-07
1.817	2.56E-06
1.818	5.18E-06
1.819	7.50E-06
1.82	9.51E-06
1.821	1.12E-05
1.822	1.26E-05
1.823	1.37E-05
1.824	1.46E-05
1.825	1.51E-05
1.826	1.53E-05
1.827	1.52E-05
1.828	1.48E-05
1.829	1.41E-05
1.83	1.31E-05
1.831	1.18E-05
1.832	1.02E-05
1.833	8.35E-06
1.834	6.16E-06
1.835	3.68E-06
1.836	9.07E-07
1.837	1.99E-06
1.838	4.61E-06
1.839	6.93E-06
1.84	8.96E-06
1.841	1.07E-05
1.842	1.21E-05
1.843	1.33E-05
1.844	1.41E-05
1.845	1.47E-05
1.846	1.49E-05
1.847	1.49E-05
1.848	1.46E-05
1.849	1.39E-05
1.85	1.30E-05
1.851	1.18E-05
1.852	1.03E-05
1.853	8.53E-06
1.854	6.45E-06
1.855	4.08E-06
1.856	1.42E-06
1.857	1.43E-06
1.858	4.05E-06
1.859	6.38E-06
1.86	8.41E-06
1.861	1.02E-05
1.862	1.16E-05
1.863	1.28E-05
1.864	1.37E-05
1.865	1.43E-05
1.866	1.46E-05
1.867	1.46E-05
1.868	1.43E-05
1.869	1.38E-05
1.87	1.29E-05
1.871	1.18E-05
1.872	1.04E-05
1.873	8.70E-06
1.874	6.72E-06
1.875	4.45E-06
1.876	1.90E-06
1.877	8.90E-07
1.878	3.50E-06
1.879	5.83E-06
1.88	7.88E-06
1.881	9.64E-06
1.882	1.11E-05
1.883	1.23E-05
1.884	1.32E-05
1.885	1.39E-05
1.886	1.42E-05
1.887	1.43E-05
1.888	1.41E-05
1.889	1.36E-05
1.89	1.28E-05
1.891	1.18E-05
1.892	1.05E-05
1.893	8.85E-06
